listing_id,url,source_discovery,detail_html_captured,description_source,purpose,property_type,price,price_period,currency,bedrooms,bathrooms,area_sqm,location_raw,agency_name,is_verified,date_listed,description_raw,language,compound_name,developer_name,governorate,city,district,finishing_level,delivery_status,delivery_date,sale_type,payment_type,down_payment_amount,down_payment_pct,installment_years,installment_amount,installment_frequency,cash_discount_pct,amenities,floor_number,garden_area_sqm,roof_area_sqm,is_negotiable,price_per_sqm,total_installment_cost
321886754,https://www.bayut.eg/تفاصيل-503988987/العقار.html,algolia,False,,sale,chalet,26000000.0,,EGP,3.0,3.0,154.0,"Egypt, Matruh, North Coast, Ramla",Egypt Best Properties (EBP),False,2026-08-24,,,,,Matruh,North Coast,Ramla,super lux,,,primary,installments,1300000.0,,8.0,,,,"Built in Kitchen Appliances, Barbeque Area, Day Care Center, First Aid Medical Center, Laundry Room, Jacuzzi, Sauna, Steam Room, Cafeteria or Canteen, Lawn or Garden, Gym or Health Club, Swimming Pool, Kids Play Area, Laundry Facility, أجهزة مطبخ مدمجة, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, غرفة غسيل, جاكوزي, ساونا, غرفة بخار, كافيتيريا, حديقة, صالة رياضية أو نادي صحي, مسبح, منطقة لعب للأطفال, خدمة غسيل ملابس, pool, sea view, balcony",,,,,168831.16883116882,
321886648,https://www.bayut.eg/تفاصيل-503988827/العقار.html,algolia,False,,sale,chalet,22000000.0,,EGP,2.0,2.0,135.0,"Egypt, Matruh, North Coast, Ramla",Egypt Best Properties (EBP),False,2026-08-24,,,,,Matruh,North Coast,Ramla,super lux,,,primary,installments,2200000.0,,5.0,,,,"Lawn or Garden, Steam Room, Cafeteria or Canteen, Gym or Health Club, Swimming Pool, Kids Play Area, Sauna, Barbeque Area, Day Care Center, Laundry Room, Jacuzzi, Laundry Facility, Built in Kitchen Appliances, First Aid Medical Center, حديقة, غرفة بخار, كافيتيريا, صالة رياضية أو نادي صحي, مسبح, منطقة لعب للأطفال, ساونا, مكان مخصص للشواء, مركز رعاية أطفال, غرفة غسيل, جاكوزي, خدمة غسيل ملابس, أجهزة مطبخ مدمجة, مركز للإسعافات الأولية, pool, sea view, balcony",,,,,162962.96296296295,
321886690,https://www.bayut.eg/تفاصيل-503988805/العقار.html,algolia,False,,sale,apartment,21000000.0,,EGP,2.0,3.0,179.0,"Egypt, Cairo, Mokattam, Uptown Cairo",Egypt Best Properties (EBP),False,2026-08-24,,,,,Cairo,Mokattam,Uptown Cairo,furnished,ready,,resale,,,,,,,,"Swimming Pool, Electricity Meter, Laundry Room, CCTV Security, Completion Year, Barbeque Area, Other Main Features, Water Meter, Furnished, Built in Kitchen Appliances, Pets Allowed, Security Staff, مسبح, عداد كهرباء, غرفة غسيل, نظام كاميرات مراقبة, سنة البناء, مكان مخصص للشواء, ميزات رئيسية أخرى, عداد مياه, مفروشة, أجهزة مطبخ مدمجة, مسموح بالحيوانات الاليفة, أمن و حماية, garden",,80.0,,,117318.43575418994,
321886489,https://www.bayut.eg/تفاصيل-503988801/العقار.html,algolia,False,,sale,apartment,5500000.0,,EGP,3.0,2.0,170.0,"Egypt, Alexandria, Smoha",Dee,False,2026-08-24,,,,,Alexandria,Smoha,,,ready,,resale,cash,,,,,,,elevator,,,,,32352.941176470587,
503988676,https://www.bayut.eg/en/property/details-503988676.html,algolia,True,detail_html,sale,chalet,9000000.0,,EGP,1.0,1.0,55.0,"Egypt, Matruh, North Coast, Alamein, Marina 5",Falcon Real Estate,False,2026-08-24,"First-row chalet directly on the sea with a breathtaking panoramic view. 

Private yacht marina + private beach. 

Fully furnished with appliances, kitchen, and air conditioning. 

Ultra-super-luxurious finishing. Best price in Marina 5. 

Suitable for living or investment (multiple sizes available). 

Total price 9,000,000 with a down payment of 900,000 + flexible installments

For details and a video, contact us now: View Contact Detail (WhatsApp/Phone). 

-------------------------------------------------------------------------------------------",en,Marassi,,Matruh,North Coast,Alamein,furnished,ready,,primary,installments,900000.0,,,,,,"Gym or Health Club, Swimming Pool, Barbeque Area, Sauna, Jacuzzi, Kids Play Area, Day Care Center, First Aid Medical Center, Steam Room, Cafeteria or Canteen, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, ساونا, جاكوزي, منطقة لعب للأطفال, مركز رعاية أطفال, مركز للإسعافات الأولية, غرفة بخار, كافيتيريا",,,,,163636.36363636365,
503988640,https://www.bayut.eg/en/property/details-503988640.html,algolia,True,detail_html,sale,apartment,4300000.0,,EGP,3.0,2.0,130.0,"Egypt, Cairo, New Cairo, 1st Settlement, El Koronfel, Dar Misr",Lutsen For Brokerage And Commercial,False,2026-08-24,"Fully finished apartment for sale in Dar Misr El Qarnfel, New Cairo, with a built-up area of 130 SQM. 

Located on the second floor, the apartment is a north-facing corner unit overlooking a walkway leading to the garden. 

The layout is practical for family living, offering 3 bedrooms, 2 bathrooms, a reception area, a spacious kitchen, and 2 terraces. 

Property Details:
Built-up area: 130 SQM
Floor: Second
Condition: Fully finished
Orientation: North-facing corner unit
View: Overlooking a garden walkway
Bedrooms: 3
Bathrooms: 2
Reception
Large kitchen
2 terraces

Gas, electricity, and water fees are fully paid. 

Final Asking Price: EGP 4,300,000
Approximate Price per SQM: EGP 33,077

A suitable option for buyers looking for a ready-to-move family home in Dar Misr El Qarnfel, with a desirable north-facing corner position and a practical 3-bedroom layout. 

The asking price is final. 

Contact us for further details or to arrange a viewing.",en,,,Cairo,New Cairo,1st Settlement,fully finished,ready,,resale,,,,,,,,"garden, balcony",,,,,33076.92307692308,
503988588,https://www.bayut.eg/en/property/details-503988588.html,algolia,True,detail_html,sale,villa,17000000.0,,EGP,4.0,4.0,308.0,"Egypt, Cairo, New Cairo, 5th Settlement, Mountain View iCity Compound",Falcon Real Estate,False,2026-08-24,"Luxury I Villa in a prime location within Mountain View Creek View

A prestigious, fully-serviced community at an exceptional price

Total Area 308m Divided into
Villa area: 190 sq m + Garden area: 118 sq m

Features: (4 bedrooms (including a nanny's room) | Very spacious reception area | American-style kitchen | 5 bathrooms | Private garden)

Total price: 17,000,000 (Down payment: 1,300,000 + Flexible installments)

For details, contact us now: View Contact Detail (WhatsApp/Phone)

-------------------------------------------------------------------------",en,Hyde Park,Mountain View (DMG),Cairo,New Cairo,5th Settlement,super lux,ready,,primary,installments,1700000.0,,,,,,"Pets Allowed, Jacuzzi, Lawn or Garden, Gym or Health Club, Swimming Pool, Electricity Meter, Sea view, Water Meter, Natural Gas, Landline, Barbeque Area, Day Care Center, First Aid Medical Center, Kids Play Area, Sauna, Steam Room, Cafeteria or Canteen, Facilities for Disabled, Covered parking, مسموح بالحيوانات الاليفة, جاكوزي, حديقة, صالة رياضية أو نادي صحي, مسبح, عداد كهرباء, يطل على البحر, عداد مياه, غاز طبيعي, خط أرضي, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, منطقة لعب للأطفال, ساونا, غرفة بخار, كافيتيريا, تسهيلات لأصحاب الهمم, مواقف مغطاة للسيارات, garden",,118.0,,,55194.805194805194,
503988584,https://www.bayut.eg/en/property/details-503988584.html,algolia,True,detail_html,sale,villa,17900000.0,,EGP,4.0,4.0,222.0,"Egypt, Cairo, New Cairo, 5th Settlement, Telal East",Falcon Real Estate,False,2026-08-24,"-Luxury Town Villa in a prime location with a stunning view in the compound, at a bargain price!
-Ultra-modern finishing + air conditioning
-Open view - fully sea-facing - high privacy

Area: 222sq m (Ground + First + Roof)
Smart layout (4 bedrooms, including a master suite, 4 bathrooms)

Flexible payment plan: 600,000 down payment + flexible payment options for easy villa ownership

For details, contact us now: View Contact Detail (WhatsApp & Phone)",en,Mountain View iCity,Mountain View (DMG),Cairo,New Cairo,5th Settlement,super lux,,,primary,installments,1790000.0,,,,,,"Jacuzzi, Sauna, Steam Room, Cafeteria or Canteen, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, First Aid Medical Center, جاكوزي, ساونا, غرفة بخار, كافيتيريا, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية",,,,,80630.63063063064,
503988566,https://www.bayut.eg/en/property/details-503988566.html,algolia,True,detail_html,sale,other,15000000.0,,EGP,0.0,0.0,74.0,"Egypt, Cairo, Madinaty",Vertex REAL ESTATE MARKTING,False,2026-08-24,"Commercial Shop for Sale in Madinaty – Craft Zone | Near East Hub Mall
A prime opportunity to own a fully finished commercial shop in one of the most active and sought-after commercial areas in Madinaty, located in Craft Zone and close to East Hub Mall. 
Property Details
Location: Craft Zone – Block 4
Size: 74 sqm
Ground Floor + First Floor for Preparation & Display
Fully Finished
Ready for Immediate Operation
Suitable for a Wide Range of Commercial Activities
Prime and Highly Active Location
Easy Access from Residential Areas
Strong and Continuous Customer Traffic
Excellent Visibility and Accessibility
A great opportunity for investors and business owners looking for a strategic commercial location in Craft Zone. 
Asking Price: 15,000,000 EGP
For Inquiries & Viewing
Mahmoud Mamdouh
View Contact Detail
Vertex Homes
Real Estate Marketing & Investment
We offer a wide selection of residential and commercial properties for sale and rent throughout Madinaty.",en,Madinaty,,Cairo,Madinaty,Madinaty,fully finished,ready,,,,,,,,,,"Balcony or Terrace, Security Staff, Water Meter, Storage Areas, Landline, Waste Disposal, Broadband Internet, Satellite/Cable TV, Intercom, Maintenance Staff, CCTV Security, 24 Hours Concierge, Cleaning Services, شرفة أو تراس, أمن و حماية, عداد مياه, مناطق تخزين, خط أرضي, مكبّ نفايات, انترنت واسع النطاق, كابل قنوات تلفزيونية, اتصال داخلي, خدمات صيانة, نظام كاميرات مراقبة, حراسة 24 ساعة, خدمات تنظيف",,,,,202702.7027027027,
321886684,https://www.bayut.eg/تفاصيل-503988563/العقار.html,algolia,False,,sale,apartment,31500000.0,,EGP,3.0,3.0,221.0,"Egypt, Cairo, Mokattam, Uptown Cairo",Egypt Best Properties (EBP),False,2026-08-24,,,,,Cairo,Mokattam,Uptown Cairo,furnished,ready,,resale,,,,,,,,"Furnished, CCTV Security, Completion Year, Built in Kitchen Appliances, Other Main Features, Pets Allowed, Security Staff, Swimming Pool, Electricity Meter, Centrally Air-Conditioned, Water Meter, Barbeque Area, مفروشة, نظام كاميرات مراقبة, سنة البناء, أجهزة مطبخ مدمجة, ميزات رئيسية أخرى, مسموح بالحيوانات الاليفة, أمن و حماية, مسبح, عداد كهرباء, نظام تبريد مركزي, عداد مياه, مكان مخصص للشواء, garden",,440.0,,,142533.9366515837,
503988558,https://www.bayut.eg/en/property/details-503988558.html,algolia,True,detail_html,sale,chalet,7000000.0,,EGP,3.0,3.0,134.0,"Egypt, Matruh, North Coast, Sidi Abdel Rahman, Telal North Coast",Falcon Real Estate,False,2026-08-24,"Luxury chalet with a 40% discount and a breathtaking sea view

Prime location and view in the village

134 square meters with a smart layout (3 bedrooms +2 bathrooms+ reception with a terrace offering a stunning view)

Cash price: 7,000,000 EGP + Various payment plans available with varying prices

For details and a video, contact us now via WhatsApp & phone: View Contact Detail",en,Marassi,La Vista Developments,Matruh,North Coast,Sidi Abdel Rahman,super lux,,,primary,cash,,,,,,40.0,"Sauna, Steam Room, Cafeteria or Canteen, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, First Aid Medical Center, Jacuzzi, ساونا, غرفة بخار, كافيتيريا, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, جاكوزي, sea view, balcony",,,,,52238.80597014925,
321886734,https://www.bayut.eg/تفاصيل-503988522/العقار.html,algolia,False,,sale,townhouse,8089605.0,,EGP,3.0,3.0,160.0,"Egypt, Cairo, Mostakbal City, Sarai",S Signature,False,2026-08-24,,,Sarai,,Cairo,Mostakbal City,Sarai,,,,resale,installments,4000000.0,,,,,,"Cafeteria or Canteen, Swimming Pool, Maintenance Staff, Lawn or Garden, Barbeque Area, Kids Play Area, كافيتيريا, مسبح, خدمات صيانة, حديقة, مكان مخصص للشواء, منطقة لعب للأطفال, garden",,,,,50560.03125,
503988481,https://www.bayut.eg/en/property/details-503988481.html,algolia,True,detail_html,sale,townhouse,30000000.0,,EGP,3.0,4.0,234.0,"Egypt, Cairo, New Heliopolis, Sodic East",Property Hills One 1,False,2026-08-24,"In a prestigious compound by one of Egypt’s leading real estate developers with a strong track record. 
Enjoy an additional discount for cash payments. 
Prime location, just minutes away from Madinaty and Mostakbal City. 
For viewing: View Contact Detail
Unit Type: Townhouse
Built-up Area: 235 sqm
Excellent layout with efficiently utilized spaces. 
Ground Floor + First Floor + Penthouse Roof. 
Ready for Immediate Delivery. 
Compound Amenities:
Football courtsPadel courtsTennis courtsFully equipped gymSports academiesSocial areas, restaurants, and cafésGreen Spine – a 2 km promenade featuring cafés, restaurants, retail shops, open sports areas, and children’s play areasThe Ravine – a spacious green park for walking and relaxationInternational schoolIntegrated commercial area with retail shops, restaurants, cafés, administrative offices, and medical clinicsLandscaped green spaces covering over 84% of the developmentRunning and cycling tracksMosqueMultiple gated entrances with 24/7 security and CCTV surveillanceComprehensive property management and maintenance services",en,Madinaty,SODIC,Cairo,New Heliopolis,Sodic East,,ready,,primary,cash,,,,,,,"Built in Kitchen Appliances, Lawn or Garden, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, First Aid Medical Center, Laundry Room, Jacuzzi, Kids Play Area, Sauna, Steam Room, Cafeteria or Canteen, Laundry Facility, أجهزة مطبخ مدمجة, حديقة, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, غرفة غسيل, جاكوزي, منطقة لعب للأطفال, ساونا, غرفة بخار, كافيتيريا, خدمة غسيل ملابس, security, garden, gym",,,,,128205.1282051282,
503988477,https://www.bayut.eg/en/property/details-503988477.html,algolia,True,detail_html,sale,townhouse,21600000.0,,EGP,4.0,4.0,230.0,"Egypt, Cairo, New Capital City, La Vista City",Property Hills One 1,False,2026-08-24,"One of Egypt’s leading real estate developers, offering a special price with an additional discount for cash payments. 
For viewing: View Contact Detail
A fully established and inhabited compound with premium services and high-end amenities. 
Unit Type: Townhouse Villa
Built-up Area: 230 sqm
Smart and practical layout with efficiently utilized spacesGround Floor with Private Garden / First Floor / RooftopReady for immediate delivery and viewingCompound Amenities:
Main Clubhouse + Clubhouse for each phaseSwimming PoolsSports ClubGym & SpaFully Equipped HospitalInternational SchoolsCommercial AreaRestaurants & CafésSupermarketAdministrative & Office AreaNurseryKids’ Play AreasWalking & Jogging TracksMulti-Purpose Sports CourtsLandscaped Green AreasLakes & Water Features24/7 Security & Gated CommunityCCTV SurveillancePrivate Parking GaragesMaintenance & Housekeeping Services",en,,La Vista Developments,Cairo,New Capital City,La Vista City,,ready,,primary,installments,4300000.0,,,,,,"Lawn or Garden, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, First Aid Medical Center, Jacuzzi, Kids Play Area, Sauna, Steam Room, Cafeteria or Canteen, حديقة, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, جاكوزي, منطقة لعب للأطفال, ساونا, غرفة بخار, كافيتيريا, pool, security, garage, garden, clubhouse, gym",,,,,93913.04347826086,
503988465,https://www.bayut.eg/en/property/details-503988465.html,algolia,True,detail_html,sale,apartment,7150000.0,,EGP,3.0,2.0,119.0,"Egypt, Cairo, New Cairo, Rehab City",Modern Home,False,2026-08-24,"119m ownership apartment in Al-Rehab 2

Opportunity for ownership or investment, apartment in Al-Rehab 2
Phase Seven


Excellent location
Steps to Al-Shaheed Al-Tayar Mosque

Area: 119 m
Floor: — first


Consists of:
3 bedrooms
2
bathrooms
including a master bedroom

Reception

Terrace
Natural gas

Distinctive apartment in a quiet location
Close to services
Close to the Eastern Market
and banks

in Phase Seven

Demand: 7,150,000 million



Modern Homes for Real Estate Marketing
Maha
View Contact Detail",en,Al Rehab,,Cairo,New Cairo,Rehab City,,ready,,resale,,,,,,,,balcony,,,,,60084.033613445376,
503988370,https://www.bayut.eg/en/property/details-503988370.html,algolia,True,detail_html,sale,apartment,7150000.0,,EGP,3.0,2.0,119.0,"Egypt, Cairo, New Cairo, Rehab City",سماح عبد الحليم محمد,False,2026-08-24,"An Investment opportunity for serious buyers only in the most desirable phase of Rehab 2, Phase 7. A 119 sqm apartment for sale near all amenities. 3 bedrooms, reception, kitchen, 3 bathrooms (renovated to 2 bathrooms). Clean, brand new finishes, ready for immediate occupancy. Unobstructed view, elevator. Special price for quick completion. For inquiries, call: View Contact Detail Contract Real Estate Marketing Company, Rehab & New Cairo, Office No. 106, 1st Floor, Mall 1, Rehab, above B. Tech occ",en,Al Rehab,,Cairo,New Cairo,Rehab City,,ready,,resale,,,,,,,,elevator,1.0,,,,60084.033613445376,
503988347,https://www.bayut.eg/en/property/details-503988347.html,algolia,True,detail_html,sale,apartment,4255000.0,,EGP,3.0,2.0,116.0,"Egypt, Cairo, Madinaty",B United Now Home,False,2026-08-24,"Apartment for sale in Madinaty – Rawasi (Talaat Moustafa Group)
Garden view
True North-facing orientation
Original Talaat Moustafa finishing
Prime location directly facing the services area; very close to the Craft Zone and East Hub. . . 
_________________________________
Layout:
(3 bedrooms, 2 bathrooms, reception area, kitchen, 2 terraces)
__________________________________
• Total price: 4,255,000
/ 7-year payment plan
• Amount paid (approx. ): 2,600,000
• Premium (Over) required
Apartment is ready for handover; utility meters installed
For inquiries and viewings:
View Contact Detail
Eng. Mohamed Rizk – New Home Real Estate Marketing
Madinaty – Banks Complex – Above Banque Misr – 2nd Floor – Office No. 205",en,Madinaty,Talaat Moustafa Group (TMG),Cairo,Madinaty,Madinaty,,ready,,resale,,,,,,,,"Freehold, Furnished, Prayer Room, Laundry Room, Other Rooms, Number of Bedrooms, Reception/Waiting Room, Sauna, Steam Room, Distance From Airport (kms), Nearby Public Transport, Other Nearby Places, Completion Year, Balcony or Terrace, Built in Kitchen Appliances, Central A/C & heating, Covered parking, Maids Room, Broadband Internet, Satellite/Cable TV, Business Center, Conference Room, Intercom, ATM Facility, Jacuzzi, Kids Play Area, Land Area, Number of Bathrooms, Pets Allowed, Lawn or Garden, Security Staff, Gym or Health Club, Swimming Pool, Electricity Meter, Sea view, Centrally Air-Conditioned, Water Meter, Storage Areas, Natural Gas, Landline, Elevators in Building, Down Payment, View, Barbeque Area, Lobby in Building, Double Glazed Windows, Central Heating, Electricity Backup, Waste Disposal, First Aid Medical Center, Service Elevators, CCTV Security, Cafeteria or Canteen, Laundry Facility, Shared Kitchen, Facilities for Disabled, Parking Spaces, Study Room, 24 Hours Concierge, Cleaning Services, Total Floors, Maintenance Staff, التملك الحر, مفروشة, غرفة صلاة, غرفة غسيل, غرف أخرى, عدد الغرف, غرفة استقبال /انتظار, ساونا, غرفة بخار, المسافة من المطار (كم), مواصلات نقل عامة قريبة, أماكن قريبة أخرى, سنة البناء, شرفة أو تراس, أجهزة مطبخ مدمجة, تدفئة وتكييف مركزي, مواقف مغطاة للسيارات, غرفة خدم, انترنت واسع النطاق, كابل قنوات تلفزيونية, مركز أعمال, غرفة اجتماعات, اتصال داخلي, توفر أجهزة السحب الآلي, جاكوزي, منطقة لعب للأطفال, مساحة الأرض, عدد دورات المياه, مسموح بالحيوانات الاليفة, حديقة, أمن و حماية, صالة رياضية أو نادي صحي, مسبح, عداد كهرباء, يطل على البحر, نظام تبريد مركزي, عداد مياه, مناطق تخزين, غاز طبيعي, خط أرضي, مصاعد, المقدم, مطل, مكان مخصص للشواء, ردهة إستقبال, نوافذ زجاجية مزدوجة, تدفئة مركزية, نظام كهرباء احتياطي للطوارئ, مكبّ نفايات, مركز للإسعافات الأولية, خدمات المصاعد, نظام كاميرات مراقبة, كافيتيريا, خدمة غسيل ملابس, مطبخ مشترك, تسهيلات لأصحاب الهمم, مواقف سيارات, غرفة دراسة, حراسة 24 ساعة, خدمات تنظيف, عدد الطوابق, خدمات صيانة, garden, balcony",2.0,,,,36681.03448275862,
321887011,https://www.bayut.eg/تفاصيل-503988289/العقار.html,algolia,False,,sale,duplex,7707528.0,,EGP,3.0,4.0,255.0,"Egypt, Cairo, New Capital City, Hava",Blue Sky Real Estate,False,2026-08-24,,,,,Cairo,New Capital City,Hava,,,,primary,installments,770752.0,,10.0,,,,"First Aid Medical Center, Cafeteria or Canteen, Balcony or Terrace, Lawn or Garden, Security Staff, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, Business Center, Jacuzzi, Kids Play Area, Sauna, CCTV Security, مركز للإسعافات الأولية, كافيتيريا, شرفة أو تراس, حديقة, أمن و حماية, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز أعمال, جاكوزي, منطقة لعب للأطفال, ساونا, نظام كاميرات مراقبة, pool, balcony",,,,,30225.6,
321887040,https://www.bayut.eg/تفاصيل-503988188/العقار.html,algolia,False,,sale,penthouse,9550000.0,,EGP,4.0,3.0,217.0,"Egypt, Cairo, Mostakbal City, Sarai",Closer Real Estate,False,2026-08-24,,,Madinaty,,Cairo,Mostakbal City,Sarai,,,,primary,both,,,12.0,,,,"Covered parking, Balcony or Terrace, Pets Allowed, Security Staff, Gym or Health Club, Storage Areas, Electricity Backup, Facilities for Disabled, 24 Hours Concierge, مواقف مغطاة للسيارات, شرفة أو تراس, مسموح بالحيوانات الاليفة, أمن و حماية, صالة رياضية أو نادي صحي, مناطق تخزين, نظام كهرباء احتياطي للطوارئ, تسهيلات لأصحاب الهمم, حراسة 24 ساعة, pool",,,,,44009.21658986175,
